Name,SamAccountName,GroupCategory,GroupScope,Description,OU,Email
Toronto-Trading,toronto-trading,Security,Global,Trading team for Toronto,"OU=Trading,OU=Toronto,OU=Canada,OU=Enterprise,DC=itpositive,DC=com",toronto-trading@itpositive.com
Toronto-Compliance,toronto-compliance,Security,Global,Compliance team for Toronto,"OU=Compliance,OU=Toronto,OU=Canada,OU=Enterprise,DC=itpositive,DC=com",toronto-compliance@itpositive.com
Toronto-IT,toronto-it,Security,Global,IT team for Toronto,"OU=IT,OU=Toronto,OU=Canada,OU=Enterprise,DC=itpositive,DC=com",toronto-it@itpositive.com
Toronto-HR,toronto-hr,Security,Global,HR team for Toronto,"OU=HR,OU=Toronto,OU=Canada,OU=Enterprise,DC=itpositive,DC=com",toronto-hr@itpositive.com
Toronto-Operations,toronto-operations,Security,Global,Operations team for Toronto,"OU=Operations,OU=Toronto,OU=Canada,OU=Enterprise,DC=itpositive,DC=com",toronto-operations@itpositive.com
Toronto-Finance,toronto-finance,Security,Global,Finance team for Toronto,"OU=Finance,OU=Toronto,OU=Canada,OU=Enterprise,DC=itpositive,DC=com",toronto-finance@itpositive.com
Toronto-Legal,toronto-legal,Security,Global,Legal team for Toronto,"OU=Legal,OU=Toronto,OU=Canada,OU=Enterprise,DC=itpositive,DC=com",toronto-legal@itpositive.com
Toronto-Marketing,toronto-marketing,Security,Global,Marketing team for Toronto,"OU=Marketing,OU=Toronto,OU=Canada,OU=Enterprise,DC=itpositive,DC=com",toronto-marketing@itpositive.com
Toronto-Customer Service,toronto-customer-service,Security,Global,Customer Service team for Toronto,"OU=Customer Service,OU=Toronto,OU=Canada,OU=Enterprise,DC=itpositive,DC=com",toronto-customer-service@itpositive.com
Toronto-Treasury Management,toronto-treasury-management,Security,Global,Treasury Management team for Toronto,"OU=Treasury Management,OU=Toronto,OU=Canada,OU=Enterprise,DC=itpositive,DC=com",toronto-treasury-management@itpositive.com
Toronto-Business Banking,toronto-business-banking,Security,Global,Business Banking team for Toronto,"OU=Business Banking,OU=Toronto,OU=Canada,OU=Enterprise,DC=itpositive,DC=com",toronto-business-banking@itpositive.com
Toronto-Investment Banking,toronto-investment-banking,Security,Global,Investment Banking team for Toronto,"OU=Investment Banking,OU=Toronto,OU=Canada,OU=Enterprise,DC=itpositive,DC=com",toronto-investment-banking@itpositive.com
Vancouver-Trading,vancouver-trading,Security,Global,Trading team for Vancouver,"OU=Trading,OU=Vancouver,OU=Canada,OU=Enterprise,DC=itpositive,DC=com",vancouver-trading@itpositive.com
Vancouver-Compliance,vancouver-compliance,Security,Global,Compliance team for Vancouver,"OU=Compliance,OU=Vancouver,OU=Canada,OU=Enterprise,DC=itpositive,DC=com",vancouver-compliance@itpositive.com
Vancouver-IT,vancouver-it,Security,Global,IT team for Vancouver,"OU=IT,OU=Vancouver,OU=Canada,OU=Enterprise,DC=itpositive,DC=com",vancouver-it@itpositive.com
Vancouver-HR,vancouver-hr,Security,Global,HR team for Vancouver,"OU=HR,OU=Vancouver,OU=Canada,OU=Enterprise,DC=itpositive,DC=com",vancouver-hr@itpositive.com
Vancouver-Operations,vancouver-operations,Security,Global,Operations team for Vancouver,"OU=Operations,OU=Vancouver,OU=Canada,OU=Enterprise,DC=itpositive,DC=com",vancouver-operations@itpositive.com
Vancouver-Finance,vancouver-finance,Security,Global,Finance team for Vancouver,"OU=Finance,OU=Vancouver,OU=Canada,OU=Enterprise,DC=itpositive,DC=com",vancouver-finance@itpositive.com
